playerID,ballots,votes,inducted
dobyla01,,,Y
howarel01,432,30,N
palmeji01,444,411,Y
howarel01,413,44,N
keelewi01,78,33,N
clarkjo01,,,Y
scottev01,262,2,N
thompsa01,,,Y
hartnga01,153,35,N
rogerst01,443,0,N
musiast01,340,317,Y
raineti01,543,132,N
dykesji01,153,7,N
reeseri01,432,0,N
ruckena01,201,11,N
steartu99,,,Y
lindsfr01,269,6,N
morgajo02,444,363,Y
chancfr01,,,Y
wellswi99,,,Y
bendech01,,,Y
coopean99,,,Y
garvest01,499,160,N
grovele01,161,123,Y
kellejo01,,,Y
bunniji01,,,Y
glavito02,571,525,Y
coombja01,202,2,N
burkeje01,78,1,N
wilkijl99,,,Y
yountro01,497,385,Y
coopewi01,251,11,N
smoltjo01,549,455,Y
grohhe01,252,1,N
kellge01,388,129,N
whitewi01,362,7,N
traynpi01,121,93,Y
doerrbo01,340,62,N
pennohe01,121,94,Y
vandejo01,193,3,N
bunniji01,447,283,N
aparilu01,403,341,Y
meusebo01,251,2,N
vanceda01,251,205,Y
lombaer01,266,4,N
dobsopa01,374,0,N
roushed01,,,Y
andersp01,,,Y
friscfr01,274,26,N
haineje01,,,Y
willijo99,,,Y
boudrlo01,300,232,Y
helmsto01,374,1,N
olivato01,443,160,N
burnsge01,168,2,N
suttebr01,520,400,Y
wagneho01,226,215,Y
ricesa01,252,9,N
hermabi01,121,1,N
perduhu01,262,1,N
faberre01,269,83,N
rixeyep01,,,Y
martied01,539,195,N
linzyfr01,385,0,N
fiskca01,499,397,Y
johnsbo01,193,1,N
adamsba01,226,12,N
mackco01,,,Y
barryja01,274,1,N
crawfsa01,,,Y
manushe01,160,15,N
nehfar01,234,3,N
frickfo99,,,Y
terrybi01,161,46,N
medwijo01,193,31,N
maddugr01,571,555,Y
leachfr01,269,1,N
delahed01,,,Y
elberki01,201,1,N
milancl01,262,1,N
kuennha01,413,144,N
sandbry01,516,393,Y
maranra01,252,209,Y
cissebi01,201,1,N
matheed01,379,301,Y
fostege01,430,24,N
rickebr01,,,Y
terrybi01,247,32,N
traynpi01,274,10,N
kellech01,283,11,N
becklja01,,,Y
smithoz01,472,433,Y
bottoji01,,,Y
mcleala01,201,1,N
welchmi01,,,Y
dunnja01,202,1,N
hulbewi99,,,Y
newcodo01,432,52,N
nichoki01,,,Y
stengca01,,,Y
lombaer01,292,43,N
odoulle01,193,5,N
radboch01,,,Y
cepedor01,401,77,N
thomafr04,571,478,Y
hubbaca99,,,Y
gwynnto01,545,532,Y
dreyfba99,,,Y
derripa01,121,1,N
averiea01,,,Y
darliro01,515,1,N
robinfr02,415,370,Y
lasorto01,,,Y
rolfere01,264,5,N
coopewi01,234,2,N
kaatji01,456,98,N
gosligo01,,,Y
planked01,,,Y
crawfsa01,226,1,N
covelst01,262,1,N
rudoldi01,201,1,N
suttodo01,473,386,Y
gileswa99,,,Y
fosteru99,,,Y
coopewi01,264,9,N
marioma01,340,112,N
yawketo99,,,Y
torrejo01,473,105,N
snidedu01,360,89,N
jackstr01,,,Y
cuyleki01,,,Y
wilsoha01,,,Y
jenkife01,443,334,Y
larkiba01,581,361,N
bottoji01,168,8,N
fingero01,430,349,Y
harribu01,153,11,N
bresnro01,,,Y
lyonste01,251,217,Y
gehrilo01,,,Y
carewro01,443,401,Y
friscfr01,226,14,N
cuyleki01,153,4,N
raineti01,569,297,N
eckerde01,506,421,Y
longhe01,262,1,N
cavarph01,201,22,N
dawsoan01,539,420,Y
burnsge01,201,3,N
jacksre01,423,396,Y
ripkeca01,545,537,Y
foxne01,,,Y
worreto01,496,0,N
bradlbi01,233,1,N
wilheho01,395,331,Y
dawsoan01,520,317,N
conrowi01,247,1,N
reesepe01,201,73,N
mccarjo99,,,Y
greenha01,193,164,Y
fellebo01,160,150,Y
cramedo01,266,2,N
lindsfr01,,,Y
vaughar01,,,Y
steinte01,516,1,N
careyma01,,,Y
taylobe99,,,Y
archeji01,262,7,N
barlial99,,,Y
medwijo01,283,240,Y
marisro01,374,69,N
dunstsh01,543,1,N
lazzeto01,193,64,N
martipe02,549,500,Y
combsea01,153,6,N
tinkejo01,,,Y
carrocl02,395,0,N
delahed01,262,132,N
tinkejo01,247,49,N
hardeme01,168,2,N
meusebo01,262,1,N
leonadu02,380,6,N
burdele01,395,82,N
mccarto01,,,Y
burdele01,385,66,N
edmonji01,440,11,N
harriwi99,,,Y
ruffire01,193,97,N
millebo04,385,0,N
chesbja01,,,Y
ashburi01,432,130,N
vanceda01,153,33,N
wilsoha01,266,94,N
mattido01,506,65,N
willicy01,266,6,N
durocle01,,,Y
delahed01,233,104,N
gowdyha01,251,90,N
gordojo01,,,Y
clarkfr01,,,Y
delahed01,78,21,N
conlajo01,,,Y
brocklo01,395,315,Y
gomezle01,,,Y
kluszte01,396,10,N
simmoal01,226,4,N
cramedo01,193,4,N
colliji01,,,Y
dickebi01,252,202,Y
burgesm01,380,1,N
wrighha01,,,Y
dickebi01,168,78,N
manleef99,,,Y
irvinmo01,,,Y
kellge01,,,Y
friscfr01,161,136,Y
connoto99,,,Y
larsedo01,379,32,N
rixeyep01,247,1,N
fostebi99,,,Y
woodjo02,168,1,N
ferreri01,,,Y
davisge01,,,Y
roushed01,121,17,N
seaveto01,430,425,Y
adamsba01,234,9,N
charlos99,,,Y
southbi01,,,Y
terrybi01,252,195,Y
reesepe01,201,47,N
schilcu01,571,167,N
minosmi01,473,84,N
clarkfr01,233,58,N
ruffire01,306,266,Y
chadwhe99,,,Y
veeckbi99,,,Y
robinja02,160,124,Y
robinbr01,374,344,Y
camparo01,340,270,Y
alexape01,262,212,Y
stahlla01,432,0,N
heilmha01,234,203,Y
brettge01,497,488,Y
wheatza01,252,33,N
groatdi01,379,3,N
burdele01,379,76,N
willivi01,,,Y
ewingbu01,,,Y
scottev01,201,2,N
clemero01,,,Y
ottme01,226,197,Y
bakerfr01,233,39,N
gehrich01,247,10,N
gonzami01,264,1,N
blylebe01,581,463,Y
schumha02,121,1,N
fordwh01,365,284,Y
sislege01,274,235,Y
terrybi01,226,9,N
larusto01,,,Y
keefeti01,,,Y
cronijo01,193,152,Y
speaktr01,201,165,Y
mathech01,226,205,Y
smithle02,545,217,N
hafeych01,,,Y
planked01,201,23,N
orourji01,,,Y
elberki01,233,1,N
bankser01,383,321,Y
griffcl01,,,Y
boonebr01,581,1,N
dimagjo01,251,223,Y
jonesto02,571,0,N
unserde01,427,0,N
peckiro01,153,1,N
jennihu01,,,Y
berryke01,401,0,N
thomago01,430,0,N
galvipu01,,,Y
hubbeca01,161,140,Y
grimmch01,274,1,N
parkeda01,581,89,N
hamilbi01,,,Y
mcginjo01,,,Y
boggswa01,516,474,Y
roganbu99,,,Y
connoro01,,,Y
johnsra05,549,534,Y
kuhnbo99,,,Y
mussimi01,549,135,N
bakerfr01,274,30,N
wambsbi01,193,1,N
marquru01,,,Y
drysddo01,403,316,Y
reesepe01,,,Y
riceji01,539,412,Y
harribu01,264,21,N
gehrich01,187,159,Y
lopezal01,292,114,N
lopezal01,306,50,N
larkiba01,573,495,Y
bancrda01,193,15,N
spahnwa01,380,316,Y
stargwi01,427,352,Y
ansonca01,,,Y
ruthba01,226,215,Y
hafeych01,160,7,N
kinerra01,292,124,N
piazzmi01,440,365,Y
sullibi03,201,1,N
bellco99,,,Y
gordojo01,266,11,N
falkecy01,201,1,N
kleinch01,252,11,N
comisch01,,,Y
winfida01,515,435,Y
alomaro01,581,523,Y
paigesa01,,,Y
pinsova01,427,67,N
mckecbi01,,,Y
lewisdu01,226,2,N
gustifr01,266,3,N
wilsoju99,,,Y
mcgrajo01,,,Y
hackst01,121,2,N
odayha01,,,Y
rommeed01,266,7,N
hornsro01,262,46,N
ferreri01,269,1,N
groveor01,266,5,N
jenseja01,340,1,N
schmimi01,460,444,Y
berrayo01,396,339,Y
ashburi01,,,Y
combsea01,,,Y
macphle99,,,Y
maranra01,226,110,N
duffyhu01,,,Y
mantlmi01,365,322,Y
fletcar01,274,1,N
hinchbi01,201,1,N
phillde01,247,2,N
huggimi01,,,Y
evansbi99,,,Y
rizzuph01,292,71,N
murraed02,496,423,Y
wanerpa01,234,195,Y
mcdanli01,401,1,N
dihigma99,,,Y
johnswa01,226,189,Y
clarkfr01,78,9,N
roushed01,233,1,N
koufasa01,396,344,Y
ruperja99,,,Y
hermabi01,,,Y
kalinal01,385,340,Y
wadderu01,247,154,N
floodcu01,444,35,N
seleefr99,,,Y
facero01,432,35,N
sheffga01,549,64,N
erskica01,302,6,N
grimebu01,234,9,N
weissge99,,,Y
wilsoha01,121,2,N
carltst01,456,436,Y
kellyge01,,,Y
newcodo01,380,11,N
rizzuph01,,,Y
duganjo01,266,5,N
manushe01,,,Y
maricju01,374,313,Y
sierrru01,573,0,N
wilsoji01,153,6,N
johnsba99,,,Y
cadorle01,121,1,N
wrighgl01,266,8,N
garvene01,292,1,N
marquru01,252,15,N
kressre01,269,3,N
flickel01,,,Y
weaveea99,,,Y
lolicmi01,444,27,N
doerrbo01,,,Y
omallwa99,,,Y
roushed01,168,16,N
bancrda01,,,Y
wanerll01,,,Y
boonebo01,497,27,N
parrila01,456,2,N
olivato01,447,135,N
mizejo01,,,Y
chylane99,,,Y
landike99,,,Y
griffke02,440,437,Y
galanau01,283,2,N
warnelo01,160,2,N
eversjo01,,,Y
hoopeha01,,,Y
cochrmi01,161,128,Y
drysddo01,415,233,N
willibi01,374,153,N
mcgowbi99,,,Y
pinsova01,444,36,N
careyma01,226,27,N
grantfr99,,,Y
gossari01,543,466,Y
dimagjo01,264,117,N
ruelmu01,226,1,N
whiteso99,,,Y
lloydpo99,,,Y
peckiro01,274,1,N
herzowh01,,,Y
wynnea01,396,301,Y
stengca01,153,3,N
perryga01,443,342,Y
youngro01,,,Y
martipe01,234,31,N
robinwi01,,,Y
santoro01,,,Y
floodcu01,430,42,N
smithhi99,,,Y
wardjo01,,,Y
theveto01,168,2,N
fonsele01,269,3,N
deandi01,264,209,Y
killeha01,403,335,Y
coninje01,569,0,N
macphla99,,,Y
faberre01,160,30,N
niekrph01,473,380,Y
giustda01,374,1,N
kellech01,160,1,N
kinerra01,362,273,Y
kinerra01,396,235,N
suttebr01,496,266,N
anderbr01,543,0,N
cobbty01,226,222,Y
delahed01,201,70,N
scottev01,161,1,N
mcinnst01,262,4,N
santolo99,,,Y
meusebo01,153,3,N
schumha02,251,1,N
medwijo01,160,34,N
mayswi01,432,409,Y
lopezal01,,,Y
mattido01,520,64,N
conceda01,516,55,N
willite01,302,282,Y
slaugen01,388,197,N
poseycu99,,,Y
snidedu01,385,333,Y
broutda01,,,Y
matthga01,423,0,N
yastrca01,447,423,Y
lemonbo01,201,3,N
torricr99,,,Y
marioma01,283,89,N
hoytwa01,,,Y
ricesa01,,,Y
chambch01,456,0,N
roberro01,388,337,Y
johnto01,545,125,N
newhoha01,,,Y
jacksmi02,539,0,N
careyma01,266,136,N
lemonbo01,388,305,Y
hodgegi01,365,198,N
biggicr01,569,388,N
wheatza01,,,Y
puckeki01,515,423,Y
marisro01,427,184,N
camparo01,306,170,N
robinwi01,201,5,N
duffyhu01,262,24,N
breweji01,415,2,N
covelst01,,,Y
parkeda01,496,51,N
hamptmi01,440,0,N
cepedor01,,,Y
warnelo01,266,2,N
averiea01,266,14,N
wadderu01,,,Y
grimebu01,,,Y
hunteca01,413,315,Y
kressre01,266,1,N
hargrbu01,161,1,N
rolfere01,266,13,N
ruffire01,302,208,N
southbi01,266,18,N
blylebe01,497,70,N
barroed99,,,Y
